id,name,standardized_name,db_entity_id
1,World,World,355
2,Africa,Africa,273
4,Afghanistan,Afghanistan,15
5,South America,South America,295
8,Albania,Albania,16
9,Oceania,Oceania,277
11,Western Africa,Western Africa,466
12,Algeria,Algeria,17
13,Central America,Central America,477
14,Eastern Africa,Eastern Africa,462
15,Northern Africa,Northern Africa,464
16,American Samoa,American Samoa,246
17,Middle Africa,Middle Africa,463
18,Southern Africa,Southern Africa,465
19,Americas,Americas,290
20,Andorra,Andorra,18
21,Northern America,Northern America,450
24,Angola,Angola,19
28,Antigua and Barbuda,Antigua and Barbuda,20
29,Caribbean,Caribbean,436
30,Eastern Asia,Eastern Asia,467
31,Azerbaijan,Azerbaijan,25
32,Argentina,Argentina,21
34,Southern Asia,Southern Asia,470
35,South-Eastern Asia,South Eastern Asia,36360
36,Australia,Australia,23
39,Southern Europe,Southern Europe,475
40,Austria,Austria,24
44,Bahamas,Bahamas,26
48,Bahrain,Bahrain,27
50,Bangladesh,Bangladesh,28
51,Armenia,Armenia,22
52,Barbados,Barbados,29
53,Australia and New Zealand,Australia and New Zealand,36416
54,Melanesia,Melanesia,478
56,Belgium,Belgium,4
57,Micronesia,Micronesia (country),222
60,Bermuda,Bermuda,194
61,Polynesia,Polynesia,479
62,Central and Southern Asia,Central and Southern Asia,36460
64,Bhutan,Bhutan,33
68,Bolivia (Plurinational State of),Bolivia,34
70,Bosnia and Herzegovina,Bosnia and Herzegovina,35
72,Botswana,Botswana,36
74,Bouvet Island,Bouvet Island,349
76,Brazil,Brazil,37
84,Belize,Belize,31
86,British Indian Ocean Territory,British Indian Ocean Territory,351
90,Solomon Islands,Solomon Islands,195
92,British Virgin Islands,British Virgin Islands,196
96,Brunei Darussalam,Brunei,38
97,European Union,European Union,318
100,Bulgaria,Bulgaria,39
104,Myanmar,Myanmar,142
108,Burundi,Burundi,41
112,Belarus,Belarus,30
116,Cambodia,Cambodia,42
120,Cameroon,Cameroon,43
124,Canada,Canada,44
127,Southern Asia (excluding India),Southern Asia (excluding India),5397
132,Cabo Verde,Cape Verde,45
135,Caucasus and Central Asia,Caucasus and Central Asia,5408
136,Cayman Islands,Cayman Islands,197
140,Central African Republic,Central African Republic,174
142,Asia,Asia,275
143,Central Asia,"Asia, Central",431
144,Sri Lanka,Sri Lanka,141
145,Western Asia,Western Asia,472
148,Chad,Chad,173
150,Europe,Europe,276
151,Eastern Europe,Eastern Europe,473
152,Chile,Chile,172
154,Northern Europe,Northern Europe,474
155,Western Europe,"Europe, Western",439
156,China,China,171
158,Other non-specified areas,Other non-specified areas,631
162,Christmas Island,Christmas Island,247
166,Cocos (Keeling) Islands,Cocos Islands,263
170,Colombia,Colombia,170
174,Comoros,Comoros,169
175,Mayotte,Mayotte,193
178,Congo,Congo,168
180,Democratic Republic of the Congo,Democratic Republic of Congo,167
184,Cook Islands,Cook Islands,199
188,Costa Rica,Costa Rica,166
191,Croatia,Croatia,165
192,Cuba,Cuba,164
196,Cyprus,Cyprus,163
199,Least Developed Countries (LDCs),Least Developed Countries (LDCs),38228
202,Sub-Saharan Africa,Sub-Saharan Africa,289
203,Czechia,Czech Republic,162
204,Benin,Benin,32
208,Denmark,Denmark,161
212,Dominica,Dominica,200
214,Dominican Republic,Dominican Republic,160
218,Ecuador,Ecuador,201
222,El Salvador,El Salvador,259
223,Eastern Asia (excluding Japan and China),Eastern Asia (excluding Japan and China),
226,Equatorial Guinea,Equatorial Guinea,159
231,Ethiopia,Ethiopia,158
232,Eritrea,Eritrea,157
233,Estonia,Estonia,156
234,Faroe Islands,Faeroe Islands,250
238,Falkland Islands (Malvinas),Falkland Islands,249
239,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,352
242,Fiji,Fiji,202
246,Finland,Finland,155
248,Åland Islands,Aland Islands,61373
250,France,France,3
254,French Guiana,French Guiana,253
258,French Polynesia,French Polynesia,203
260,French Southern Territories,French Southern Territories,347
262,Djibouti,Djibouti,154
266,Gabon,Gabon,153
268,Georgia,Georgia,152
270,Gambia,Gambia,151
275,State of Palestine,Palestine,140
276,Germany,Germany,6
288,Ghana,Ghana,150
292,Gibraltar,Gibraltar,251
296,Kiribati,Kiribati,204
300,Greece,Greece,149
