entity,year,value
1,2005,9.21
1,2010,6.69
1,2015,6.76
1,2016,8.11
1,2017,6.67
1,2018,6.66
2,2005,22.83
2,2010,16.05
2,2015,13.66
2,2016,13.78
2,2017,13.29
2,2018,13.27
4,2005,5.67
4,2010,9.95
4,2015,9.98
4,2016,9.96
4,2017,9.98
4,2018,10.0
5,2005,14.76
5,2010,17.58
5,2015,16.63
5,2016,16.82
5,2017,16.27
5,2018,16.16
8,2005,9.68
8,2010,9.42
8,2015,1.68
8,2016,5.18
8,2017,1.99
8,2018,1.97
9,2005,7.04
9,2010,7.03
9,2015,4.64
9,2016,4.58
9,2017,4.58
9,2018,4.57
11,2005,16.11
11,2010,15.29
11,2015,16.62
11,2016,15.13
11,2017,14.99
11,2018,15.08
12,2005,19.85
12,2010,20.24
12,2015,21.85
12,2016,23.27
12,2017,22.8
12,2018,22.8
13,2005,14.76
13,2010,14.47
13,2015,8.53
13,2016,8.57
13,2017,8.31
13,2018,8.29
14,2005,15.59
14,2010,15.24
14,2015,14.73
14,2016,15.02
14,2017,15.89
14,2018,16.0
15,2005,27.06
15,2010,16.68
15,2015,12.16
15,2016,12.18
15,2017,11.85
15,2018,11.85
17,2005,18.68
17,2010,15.51
17,2015,15.26
17,2016,17.82
17,2017,15.18
17,2018,13.46
18,2005,18.07
18,2010,15.32
18,2015,15.22
18,2016,15.64
18,2017,15.3
18,2018,15.3
19,2005,9.85
19,2010,10.29
19,2015,9.06
19,2016,9.1
19,2017,8.94
19,2018,9.02
21,2005,8.3
21,2010,7.97
21,2015,7.66
21,2016,7.62
21,2017,7.56
21,2018,7.72
24,2005,10.8
24,2010,10.57
24,2015,12.2
24,2016,9.57
24,2017,10.07
24,2018,6.78
28,2005,14.34
28,2010,14.78
28,2015,15.44
28,2016,15.64
28,2017,15.5
28,2018,15.5
29,2005,5.73
29,2010,7.58
29,2015,5.97
29,2016,5.95
29,2017,7.25
29,2018,7.25
30,2005,6.44
30,2010,5.34
30,2015,5.66
30,2016,5.53
30,2017,5.85
30,2018,5.83
31,2005,15.65
31,2010,5.38
31,2015,13.75
31,2016,14.54
31,2017,14.07
31,2018,14.07
32,2005,16.51
32,2010,21.59
32,2015,22.4
32,2016,22.67
32,2017,23.59
32,2018,23.87
34,2005,18.17
34,2010,14.96
34,2015,16.17
34,2016,12.79
34,2017,15.73
34,2018,15.64
35,2005,14.21
35,2010,8.39
35,2015,8.49
35,2016,8.75
35,2017,9.33
35,2018,9.16
36,2005,7.21
36,2010,7.49
36,2015,4.48
36,2016,4.46
36,2017,4.48
36,2018,4.48
39,2005,9.37
39,2010,8.81
39,2015,7.62
39,2016,8.43
39,2017,7.45
39,2018,7.53
44,2005,26.53
44,2010,32.32
44,2015,32.47
44,2016,32.19
44,2017,31.28
44,2018,31.25
48,2005,4.98
48,2010,4.97
48,2015,4.94
48,2016,4.96
48,2017,4.93
48,2018,4.93
50,2005,19.5
50,2010,19.71
50,2015,21.27
50,2017,20.49
50,2018,20.49
51,2005,3.32
51,2010,3.72
51,2015,6.25
51,2016,4.09
51,2017,5.12
51,2018,7.12
52,2005,13.0
52,2010,14.54
52,2015,14.65
52,2016,14.61
52,2017,15.0
52,2018,15.0
53,2005,6.98
53,2010,6.93
53,2015,4.46
53,2016,4.47
53,2017,4.49
53,2018,4.49
54,2005,6.91
54,2010,8.7
54,2015,8.91
54,2016,9.15
54,2017,7.19
54,2018,7.19
57,2005,7.24
57,2010,7.4
57,2015,5.47
57,2016,5.56
57,2017,6.15
57,2018,1.81
60,2005,19.46
60,2010,19.8
60,2015,20.27
60,2016,20.35
60,2017,22.78
60,2018,19.77
61,2005,12.4
61,2010,11.83
61,2015,10.91
61,2016,10.55
61,2017,10.73
61,2018,10.73
62,2005,18.07
62,2010,14.96
62,2015,16.13
62,2016,12.4
62,2017,15.25
62,2018,15.17
64,2005,15.38
64,2010,26.92
64,2015,29.15
68,2005,10.98
68,2010,13.36
68,2015,16.63
68,2016,16.66
68,2017,15.95
68,2018,15.95
70,2005,10.2
70,2010,9.5
70,2015,9.23
70,2016,10.29
70,2017,9.25
70,2018,9.25
72,2005,19.53
72,2010,2.01
72,2015,3.35
72,2016,2.88
72,2017,1.73
72,2018,1.73
76,2005,16.14
76,2010,21.28
76,2015,22.28
76,2016,22.62
76,2017,22.0
76,2018,22.0
84,2005,13.03
84,2010,12.47
84,2015,17.76
84,2016,17.82
84,2017,17.48
84,2018,17.27
90,2005,14.0
90,2010,9.97
90,2015,9.88
90,2016,9.46
90,2017,9.76
90,2018,9.76
96,2005,0.32
96,2010,1.44
96,2015,1.44
96,2016,1.47
96,2017,0.86
96,2018,0.86
97,2005,6.52
97,2010,2.63
97,2015,2.85
97,2017,2.97
97,2018,2.98
104,2005,9.03
104,2010,12.42
104,2015,10.08
104,2017,11.7
104,2018,11.7
108,2005,30.0
108,2010,19.11
108,2015,15.78
108,2016,31.53
108,2017,14.6
108,2018,14.6
112,2005,15.66
112,2010,6.57
112,2015,4.7
112,2016,3.15
112,2017,5.17
112,2018,5.12
116,2005,8.23
116,2010,8.49
116,2015,6.29
116,2016,5.99
116,2017,6.0
116,2018,6.0
120,2005,21.63
120,2010,22.45
120,2015,21.3
120,2016,23.76
120,2017,19.89
120,2018,19.89
124,2005,10.32
124,2010,8.44
124,2015,7.29
124,2016,7.57
124,2017,8.3
124,2018,7.48
132,2005,15.76
132,2010,19.04
132,2015,19.88
132,2016,18.16
132,2017,20.26
132,2018,20.26
135,2005,15.43
135,2010,12.42
135,2015,13.57
135,2016,6.07
135,2017,6.38
135,2018,6.62
140,2005,23.7
140,2010,25.71
140,2015,28.37
140,2016,28.36
140,2017,28.35
140,2018,28.35
142,2005,8.66
142,2010,7.19
142,2015,7.99
142,2016,7.01
142,2017,8.27
142,2018,8.19
143,2005,16.57
143,2010,14.95
143,2015,15.51
143,2016,6.47
143,2017,6.09
143,2018,6.16
144,2005,14.95
144,2010,1.01
144,2015,1.16
144,2016,1.16
144,2017,0.83
144,2018,0.74
145,2005,5.64
145,2010,5.36
145,2015,5.33
145,2016,4.98
145,2017,5.0
145,2018,5.03
148,2005,23.2
148,2010,23.94
148,2015,22.82
148,2016,24.42
148,2017,25.97
148,2018,25.97
150,2005,6.7
150,2010,3.19
150,2015,3.18
150,2016,5.72
150,2017,3.22
150,2018,3.23
151,2005,10.51
151,2010,9.93
151,2015,6.94
151,2016,6.26
151,2017,5.9
151,2018,5.89
152,2005,6.0
152,2010,6.0
152,2015,6.0
152,2016,6.0
152,2017,6.0
152,2018,6.0
154,2005,2.04
154,2010,1.87
154,2015,1.6
154,2016,2.4
154,2017,1.22
154,2018,1.22
155,2005,5.21
155,2010,5.12
155,2015,4.92
155,2016,4.03
155,2017,4.41
155,2018,4.5
156,2005,8.64
156,2010,8.25
156,2015,7.63
156,2016,7.45
156,2017,7.78
156,2018,7.78
170,2005,16.9
170,2010,17.22
170,2015,9.66
170,2016,9.78
170,2017,10.43
170,2018,9.7
174,2005,29.73
174,2010,10.81
174,2015,11.87
174,2016,14.68
175,2005,9.13
175,2010,9.13
175,2015,9.36
178,2005,24.35
178,2010,21.16
178,2015,18.3
178,2016,19.9
178,2017,18.43
178,2018,18.43
180,2005,16.45
180,2010,17.24
180,2015,14.3
184,2005,0.0
184,2010,0.0
184,2015,0.0
188,2005,8.23
188,2010,7.22
188,2015,7.97
188,2016,8.11
188,2017,8.22
192,2005,14.47
192,2010,14.6
192,2015,14.42
192,2016,14.39
192,2017,13.96
192,2018,13.96
199,2005,14.73
199,2010,16.33
199,2015,15.68
199,2016,11.92
199,2017,16.72
199,2018,16.73
202,2005,16.98
202,2010,15.3
202,2015,15.48
202,2016,15.39
202,2017,15.42
202,2018,15.39
204,2005,19.73
204,2010,19.07
204,2015,26.42
204,2016,25.58
204,2017,25.84
204,2018,25.84
212,2005,13.95
212,2010,14.7
212,2015,14.05
212,2016,14.06
214,2005,2.41
214,2010,2.95
214,2015,2.59
214,2016,2.35
214,2017,3.18
214,2018,3.18
218,2005,15.66
218,2010,15.68
218,2015,20.53
218,2016,20.92
218,2017,19.03
218,2018,18.7
222,2005,7.78
222,2010,6.22
222,2015,5.84
222,2016,5.77
222,2017,6.11
222,2018,6.11
226,2005,22.41
226,2010,22.53
226,2015,25.34
231,2005,27.42
231,2010,20.58
231,2015,22.68
231,2016,22.57
231,2017,26.57
231,2018,26.56
232,2005,4.42
232,2010,9.54
232,2015,9.87
242,2005,7.3
242,2010,9.98
242,2015,9.77
242,2016,9.14
242,2017,6.95
242,2018,6.95
258,2005,12.64
258,2010,13.05
258,2015,11.27
258,2016,10.66
258,2017,11.08
258,2018,11.08
262,2005,20.38
262,2010,11.32
262,2015,13.64
266,2005,20.24
266,2010,19.9
266,2015,25.27
268,2005,10.05
268,2010,0.0
268,2015,0.44
268,2016,0.45
268,2017,0.46
268,2018,0.46
270,2005,11.19
270,2010,14.03
270,2015,12.0
270,2016,11.16
270,2017,9.56
275,2005,5.11
275,2010,5.0
275,2015,4.68
275,2016,4.53
275,2017,4.73
275,2018,4.73
288,2005,14.99
288,2010,15.11
288,2015,16.32
288,2016,15.75
288,2017,17.12
288,2018,16.88
296,2005,13.62
