id,name,unit,dataset_id
0,1.1.1 - Proportion of population below international poverty line (%) - SI_POV_DAY1,Percentage,0
1,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15-24 - FEMALE",Percentage,1
2,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15-24 - BOTHSEX",Percentage,1
3,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15-24 - MALE",Percentage,1
4,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15+ - FEMALE",Percentage,1
5,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15+ - BOTHSEX",Percentage,1
6,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 15+ - MALE",Percentage,1
7,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 25+ - FEMALE",Percentage,1
8,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 25+ - BOTHSEX",Percentage,1
9,"1.1.1 - Employed population below international poverty line, by sex and age (%) - SI_POV_EMP1 - 25+ - MALE",Percentage,1
10,1.2.1 - Proportion of population living below the national poverty line (%) - SI_POV_NAHC - ALLAREA,Percentage,2
11,1.2.1 - Proportion of population living below the national poverty line (%) - SI_POV_NAHC - URBAN,Percentage,2
12,1.2.1 - Proportion of population living below the national poverty line (%) - SI_POV_NAHC - RURAL,Percentage,2
13,1.2.2 - Average proportion of deprivations for people multidimensionally poor (%) - SD_MDP_ANDI,Percentage,3
14,1.2.2 - Proportion of children living in child-specific multidimensional poverty (%) - SD_MDP_CSMP,Percentage,4
15,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <18Y - BOTHSEX,Percentage,5
16,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <18Y - FEMALE,Percentage,5
17,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <18Y - MALE,Percentage,5
18,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - ALLAGE - BOTHSEX,Percentage,5
19,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - ALLAGE - FEMALE,Percentage,5
20,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - ALLAGE - MALE,Percentage,5
21,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <15Y - BOTHSEX,Percentage,5
22,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <15Y - FEMALE,Percentage,5
23,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <15Y - MALE,Percentage,5
24,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <10Y - BOTHSEX,Percentage,5
25,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <10Y - FEMALE,Percentage,5
26,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <10Y - MALE,Percentage,5
27,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - 5-17 - BOTHSEX,Percentage,5
28,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - 5-17 - FEMALE,Percentage,5
29,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - 5-17 - MALE,Percentage,5
30,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <16Y - BOTHSEX,Percentage,5
31,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <16Y - FEMALE,Percentage,5
32,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <16Y - MALE,Percentage,5
33,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <6Y - BOTHSEX,Percentage,5
34,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <6Y - FEMALE,Percentage,5
35,1.2.2 - Proportion of population living in multidimensional poverty (%) - SD_MDP_MUHC - <6Y - MALE,Percentage,5
36,1.2.2 - Proportion of households living in multidimensional poverty (%) - SD_MDP_MUHHC,Percentage,6
37,"1.3.1 - [ILO] Proportion of population covered by at least one social protection benefit, by sex (%) - SI_COV_BENFTS - BOTHSEX",Percentage,7
38,"1.3.1 - [ILO] Proportion of population covered by at least one social protection benefit, by sex (%) - SI_COV_BENFTS - MALE",Percentage,7
39,"1.3.1 - [ILO] Proportion of population covered by at least one social protection benefit, by sex (%) - SI_COV_BENFTS - FEMALE",Percentage,7
40,"1.3.1 - [ILO] Proportion of children/households receiving child/family cash benefit, by sex (%) - SI_COV_CHLD - BOTHSEX",Percentage,8
41,"1.3.1 - [ILO] Proportion of children/households receiving child/family cash benefit, by sex (%) - SI_COV_CHLD - FEMALE",Percentage,8
42,"1.3.1 - [ILO] Proportion of children/households receiving child/family cash benefit, by sex (%) - SI_COV_CHLD - MALE",Percentage,8
43,"1.3.1 - [ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%) - SI_COV_DISAB - BOTHSEX",Percentage,9
44,"1.3.1 - [ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%) - SI_COV_DISAB - FEMALE",Percentage,9
45,"1.3.1 - [ILO] Proportion of population with severe disabilities receiving disability cash benefit, by sex (%) - SI_COV_DISAB - MALE",Percentage,9
46,1.3.1 - [World Bank] Proportion of population covered by labour market programs (%) - SI_COV_LMKT - Q1,Percentage,10
47,1.3.1 - [World Bank] Proportion of population covered by labour market programs (%) - SI_COV_LMKT - _T,Percentage,10
48,1.3.1 - [ILO] Proportion of mothers with newborns receiving maternity cash benefit (%) - SI_COV_MATNL,Percentage,11
49,"1.3.1 - [ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%) - SI_COV_PENSN - BOTHSEX",Percentage,12
50,"1.3.1 - [ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%) - SI_COV_PENSN - FEMALE",Percentage,12
51,"1.3.1 - [ILO] Proportion of population above statutory pensionable age receiving a pension, by sex (%) - SI_COV_PENSN - MALE",Percentage,12
52,"1.3.1 - [ILO] Proportion of poor population receiving social assistance cash benefit, by sex (%) - SI_COV_POOR",Percentage,13
53,1.3.1 - [World Bank] Proportion of population covered by social assistance programs (%) - SI_COV_SOCAST - Q1,Percentage,14
54,1.3.1 - [World Bank] Proportion of population covered by social assistance programs (%) - SI_COV_SOCAST - _T,Percentage,14
55,1.3.1 - [World Bank] Proportion of population covered by social insurance programs (%) - SI_COV_SOCINS - Q1,Percentage,15
56,1.3.1 - [World Bank] Proportion of population covered by social insurance programs (%) - SI_COV_SOCINS - _T,Percentage,15
57,"1.3.1 - [ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%) - SI_COV_UEMP - BOTHSEX",Percentage,16
58,"1.3.1 - [ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%) - SI_COV_UEMP - FEMALE",Percentage,16
59,"1.3.1 - [ILO] Proportion of unemployed persons receiving unemployment cash benefit, by sex (%) - SI_COV_UEMP - MALE",Percentage,16
60,"1.3.1 - [ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%) - SI_COV_VULN - BOTHSEX",Percentage,17
61,"1.3.1 - [ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%) - SI_COV_VULN - FEMALE",Percentage,17
62,"1.3.1 - [ILO] Proportion of vulnerable population receiving social assistance cash benefit, by sex (%) - SI_COV_VULN - MALE",Percentage,17
63,"1.3.1 - [ILO] Proportion of employed population covered in the event of work injury, by sex (%) - SI_COV_WKINJRY - BOTHSEX",Percentage,18
64,"1.3.1 - [ILO] Proportion of employed population covered in the event of work injury, by sex (%) - SI_COV_WKINJRY - MALE",Percentage,18
65,"1.3.1 - [ILO] Proportion of employed population covered in the event of work injury, by sex (%) - SI_COV_WKINJRY - FEMALE",Percentage,18
66,"1.4.1 - Proportion of population using basic drinking water services, by location (%) - SP_ACS_BSRVH2O - ALLAREA",Percentage,19
67,"1.4.1 - Proportion of population using basic drinking water services, by location (%) - SP_ACS_BSRVH2O - URBAN",Percentage,19
68,"1.4.1 - Proportion of population using basic drinking water services, by location (%) - SP_ACS_BSRVH2O - RURAL",Percentage,19
69,"1.4.1 - Proportion of population using basic sanitation services, by location (%) - SP_ACS_BSRVSAN - RURAL",Percentage,20
70,"1.4.1 - Proportion of population using basic sanitation services, by location (%) - SP_ACS_BSRVSAN - URBAN",Percentage,20
71,"1.4.1 - Proportion of population using basic sanitation services, by location (%) - SP_ACS_BSRVSAN - ALLAREA",Percentage,20
72,"1.4.2 - Proportion of people with legally recognized documentation of their rights to land out of total adult population, by sex (%) - SP_LGL_LNDDOC - BOTHSEX",Percentage,21
73,"1.4.2 - Proportion of people with legally recognized documentation of their rights to land out of total adult population, by sex (%) - SP_LGL_LNDDOC - FEMALE",Percentage,21
74,"1.4.2 - Proportion of people who perceive their rights to land as secure out of total adult population, by sex (%) - SP_LGL_LNDSEC",Percentage,22
75,"1.4.2 - Proportion of people with secure tenure rights to land out of total adult population, by sex (%) - SP_LGL_LNDSTR - BOTHSEX",Percentage,23
76,"1.4.2 - Proportion of people with secure tenure rights to land out of total adult population, by sex (%) - SP_LGL_LNDSTR - FEMALE",Percentage,23
